zip,cbsa,res_ratio,bus_ratio,oth_ratio,tot_ratio
00606,99999,1.000000000,1.000000000,1.000000000,1.000000000
00617,41980,1.000000000,1.000000000,1.000000000,1.000000000
00674,41980,1.000000000,1.000000000,1.000000000,1.000000000
00682,32420,1.000000000,1.000000000,1.000000000,1.000000000
00698,49500,0.999505562,1.000000000,1.000000000,0.999543874
00698,41900,0.000494438,0.000000000,0.000000000,0.000456126
00725,41980,1.000000000,1.000000000,1.000000000,1.000000000
00757,42180,1.000000000,1.000000000,1.000000000,1.000000000
00766,38660,1.000000000,1.000000000,1.000000000,1.000000000
00782,41980,1.000000000,1.000000000,1.000000000,1.000000000
00802,99999,1.000000000,1.000000000,1.000000000,1.000000000
00902,41980,1.000000000,1.000000000,1.000000000,1.000000000
00934,41980,1.000000000,1.000000000,1.000000000,1.000000000
00965,41980,1.000000000,1.000000000,1.000000000,1.000000000
00977,41980,1.000000000,1.000000000,1.000000000,1.000000000
00985,41980,1.000000000,1.000000000,1.000000000,1.000000000
01462,49340,0.998679245,1.000000000,1.000000000,0.998768690
01462,14460,0.001320755,0.000000000,0.000000000,0.001231310
01469,14460,1.000000000,1.000000000,1.000000000,1.000000000
01464,14460,1.000000000,1.000000000,1.000000000,1.000000000
01516,49340,1.000000000,1.000000000,1.000000000,1.000000000
01569,49340,1.000000000,1.000000000,1.000000000,1.000000000
01581,49340,1.000000000,1.000000000,1.000000000,1.000000000
01602,49340,1.000000000,1.000000000,1.000000000,1.000000000
01606,49340,1.000000000,1.000000000,1.000000000,1.000000000
01609,49340,1.000000000,1.000000000,1.000000000,1.000000000
01757,49340,1.000000000,1.000000000,1.000000000,1.000000000
01776,14460,1.000000000,1.000000000,1.000000000,1.000000000
01803,14460,1.000000000,1.000000000,1.000000000,1.000000000
01810,14460,1.000000000,1.000000000,1.000000000,1.000000000
01862,14460,1.000000000,1.000000000,1.000000000,1.000000000
01854,14460,1.000000000,1.000000000,1.000000000,1.000000000
01879,14460,1.000000000,1.000000000,1.000000000,1.000000000
01902,14460,1.000000000,1.000000000,1.000000000,1.000000000
01960,14460,1.000000000,1.000000000,1.000000000,1.000000000
01970,14460,1.000000000,1.000000000,1.000000000,1.000000000
01982,14460,1.000000000,1.000000000,1.000000000,1.000000000
02026,14460,1.000000000,1.000000000,1.000000000,1.000000000
02035,14460,1.000000000,1.000000000,1.000000000,1.000000000
02030,14460,1.000000000,1.000000000,1.000000000,1.000000000
02056,14460,1.000000000,1.000000000,1.000000000,1.000000000
02054,14460,1.000000000,1.000000000,1.000000000,1.000000000
02062,14460,1.000000000,1.000000000,1.000000000,1.000000000
02108,14460,1.000000000,1.000000000,1.000000000,1.000000000
02093,14460,1.000000000,1.000000000,1.000000000,1.000000000
02113,14460,1.000000000,1.000000000,1.000000000,1.000000000
02135,14460,1.000000000,1.000000000,1.000000000,1.000000000
02143,14460,1.000000000,1.000000000,1.000000000,1.000000000
02169,14460,1.000000000,1.000000000,1.000000000,1.000000000
02171,14460,1.000000000,1.000000000,1.000000000,1.000000000
02188,14460,1.000000000,1.000000000,1.000000000,1.000000000
02476,14460,1.000000000,1.000000000,1.000000000,1.000000000
02482,14460,1.000000000,1.000000000,1.000000000,1.000000000
03086,31700,1.000000000,1.000000000,1.000000000,1.000000000
03033,31700,1.000000000,1.000000000,1.000000000,1.000000000
02657,12700,1.000000000,1.000000000,1.000000000,1.000000000
02660,12700,1.000000000,1.000000000,1.000000000,1.000000000
03044,14460,1.000000000,1.000000000,1.000000000,1.000000000
